,Authors,Poems
814,Luciano Spagnol - poeta mineiro do cerrado,"“SPLEEN”

O céu do cerrado, hoje, amanheceu plúmbeo 
Sobre o espírito meditabundo, só e chuvoso
E, ungido toda a reta do horizonte, nebuloso
O dia virou noite, e o meu fausto olhar, ateu

Neste temporal escuro tal calabouço lodoso
Onde a vontade quer encontrar o êxito seu
Espavorido, o acaso coloca asas de fariseu
Em um voo infeliz, tão enfado e impetuoso

A chuva a escorrer as traças da melancolia
Imita as aranhas tecendo sua espessa teia
No beiral do vazio, numa angústia sombria

O trovão dobra, de repente, e furibundo
E a alma encarcerada em lúgubre cadeia 
Chora o verso, suspirando e gemebundo

© Luciano Spagnol
poeta do cerrado
Outubro, de 2018
Cerrado goiano"
815,Luciano Spagnol - poeta mineiro do cerrado,"QUASE REVELAÇÃO 

Deixa que o rimar da poesia enfim devasse
A tua emoção tão íntima e tão sem enredo
Que terias posto de lado, se, mais cedo,
Toda covardia que sentes se revelasse...

Chega de ilusão! Pronuncie-as sem medo
As tais prosas, já tão visíveis em tua face
Deixadas em teus passos por onde passe
Marcadas, e tão apontadas com o dedo.

Então: não posso mais! Chega de rodeio
Estou cheio, em devaneio, e tenho fome
No coração, aprisionado, e tão imerso...

Escuto o dito nome, o amor, leio e releio
E já fatigado, que no peito me consome.
Que quase confesso neste patético verso!

© Luciano Spagnol
poeta do cerrado
2018, setembro
Cerrado goiano
Olavobilaquiando"
816,Walmir Palma,"Memória da Casa (Fernando de Oliveira e Walmir Palma)

Não está no portão
a memória da casa,
nem está no porão,
onde tudo se guarda.

Se talvez no jardim
mora alguma lembrança,
erram doces ausências:
borboletas, crianças.

A memória da casa
jaz além da estrutura,
das paredes caiadas,
assoalho, nervuras.

Vejo outrora na alcova
afogada em cortinas
o rubor de uma rosa
e uma linda menina.

Onde foi essa alcova,
em que tempo se deu,
como entrou nessa história,
em que vão se perdeu?

Essa casa são muitas,
uma só todas elas;
o morar é a casa
com varandas, janelas.

As memórias são tantas,
tantos são os lugares
onde pousam lembranças
nesse lar, nesses lares..."
817,(junção de dois poemas) - Autor não identificado,"[violet]Cante, dance, pule, grite, brigue, faça as pazes, chore, 
sorria, estude, fique para recuperação, sinta saudades, 
apaixone-se, deseje, ame, dedique-se, beije, abrace, erre, 
aprenda, desculpe, faça amizades, tenha objetivos, ande, 
emagreça, engorde, fale palavrão, brinque, ganhe, perca, 
prometa, cumpra, corra, pare... Enfim... VIVA! Sonhe com o 
que você quiser. Vá para onde você queira ir! Seja o que 
você quer ser, porque você possui apenas uma vida, e 
nela só temos uma chance de fazer aquilo que queremos. 
Tenha felicidade bastante para fazê-la doce; dificuldades e
determinação para fazê-la forte. Tristeza para fazê-la 
humana. E esperança suficiente para fazê-la FELIZ!"
818,Celia Piovesan,"Ficar de novo pequenina 

Olhando as crianças brincando 
Comecei a pensar 
Talvez quando eu era criança 
Adulta eu queria ficar... 

E mil lembranças 
Voltam em minha mente 
De quando eu era pequenina 
Uma criança somente..... 

Muitas recordações... 
Dias felizes....as emoções 
E ate das tristezas 
Que um dia tive.... 

Sera mesmo que aproveitei? 
Sera que eu valorizei? 
A grandeza......a alegria.. 
Aquela vivencia em plena ""folia""? 

Sera que o adulto eu analisei? 
Sera que eu acreditei? 
Que tudo seria melhor quando eu crescesse? 
E adulta eu fiquei!!!!! 

E hoje quero confessar 
Que a infância me fascina... 
E que eu daria tudo.... 
Pra ficar de novo pequenina!"
819,Poeta mineiro do cerrado - LUCIANO SPAGNOL,"DRAMA (soneto) 

Quando é que o afeto meu terá encontrado
a sorte duma companhia pra se apresentar?
Quando é que na narração poderei conjugar
Assim, despertarei de então estar deslocado

Se sei ou não sei, só sei que eu sei atuar
E se eu estarei ou terei ou se está iletrado
É impossível de inspirar, o ato está calado
Pois, o silêncio discursa sem representar

O aplauso alheio pulsa, mas de que lado?
Na cena a ilusão é expulsa e, põe a chorar
Impossível imaginar atuar sem ser amado

E este drama sem teatro, e ator sem teu lar
De comédia trágica, no peito, então atuado
É amor e fado, no palco, querendo ser par!

© Luciano Spagnol
Poeta do cerrado
2017, julho
Cerrado goiano"
820,Anderson Batista,"( Morena )

Aí está a linda mOrenA 
Com o seu jeito meigo de falar,
Expressar poemas no olhar
Por td q tens feito
Onde passas tds ficam a olhar
Pra mOrenA q és linda
Quem ñ quer te namorar ??

Mal sei o q falar
Fico com as letras a trocar
Palavras a errar
Quando tenho o privilegio de te olhar

MOrenA, mOrenA
O q quer q seja
Pra td na vida
O q posso fazer pra lhe agradar ??
Flores, estou pronto pra lhe dar
Observar seu sorriso
É como se eu estivesse 
Olhando as estrelas, na areia, perto do mar
Nesse céu lindo como o seu olhar
Esses dias eu quero bem aproveitar

Privilegiados são os poetas
Que expressa palavras 
Que o coração custa a decorar
Pra mOrenA q tds querem 
Ao lado estar."
821,Almany - poeta do sol,"POEMA DA MATURIDADE 
(Poema de: Almany Sol - 17/06/2012)

Sabe filho,
Se você fosse mais vivido,
entenderia meu rigor educativo,
me veria como um mestre
e não como um comandante cruel.
Pensartia duas ou mais vezes,
antes de me desobedecer e me afrontar.
Desejaria o melhor pra todos,
sem se importar egoistamente consigo.
Teria muito mais paciência
e compreenderia as dificuldades senis,
pois a jovialidade é efêmera.
Saberia que se sentir orgulhoso,
nem sempre será por ter méritos proprios,
mas também em ver nos seus filhos,
suas realizações impossíveis.
Sabe filho,
Desejo que quando chegar a sua vez,
você possa recitar de cór e com maestria,
o poema da maturidade, ao seu filho também!"
822,Isabel Machado,"BENDITOS

Abençoados os que possuem amigos, os que os têm sem pedir.
Porque amigo não se pede, não se compra, nem se vende.
Amigo a gente sente!

Benditos os que sofrem por amigos, os que falam com o olhar.
Porque amigo não se cala, não questiona, nem se rende.
Amigo a gente entende!

Benditos os que guardam amigos, os que entregam o ombro pra chorar.
Porque amigo sofre e chora.
Amigo não tem hora pra consolar!

Benditos sejam os amigos que acreditam na tua verdade ou te apontam a realidade.
Porque amigo é a direção.
Amigo é a base quando falta o chão!

Benditos sejam todos os amigos de raízes, verdadeiros.
Porque amigos são herdeiros da real sagacidade.
Ter amigos é a melhor cumplicidade!"
823,Desconhecido,"A força da nossa amizade vence todas as diferenças...
Aliás... para que diferenças se somos amigos?
Quando erramos... nos perdoamos e esquecemos
Se temos defeitos... não nos importamos...
Trocamos segredos... 
e respeitamos as divergências...
Nas horas incertas, sempre chegamos no momento certo...
Nos amparamos...nos defendemos...
sem pedir...
fazemos porque nos sentimos felizes em fazer...
Nos reverenciamos... adoramos... idolatramos... apreciamos... admiramos.
Nos mostramos amigos de verdade,
quando dizemos o que temos a dizer...
Nos aceitamos , sem querer mudanças...
Estamos sempre presente,
não só nos momentos de alegria,
compartilhando prazeres,
mas principalmente nos momentos mais difíceis..."
824,Luciano Spagnol - poeta mineiro do cerrado,"SOMBRA

Sofro... Vejo envasado numa angústia furiosa
Todo a poesia que tive na intenção esmerada
Abandona-me o criar, e a alma ficou calada
No ter a exaltação, e a inspiração é vagarosa 

Criei... Mas tive prosaico, e trama enleada 
O desdém que sufoca, e a simetria penosa,
Sombria, numa chama ardente e dolorosa.
Que fazer pra ser bom, nesta vil jornada?

- Amar? - Perdoar? Eu ser apenas prosa?
Não sei, sei que amei, perdoei, mais nada,
Porém, não tive todo este mar de rosa...

Em sangue e fel, o coração me só é cilada
Remordo o papel, branco, em ter gloriosa
Chamada. E só vejo a quimera em retirada.

© Luciano Spagnol
poeta do cerrado
Setembro de 2018
Cerrado goiano 
Olavobilaquiando"
825,Walmir Palma,"A Nave (Walmir Palma) p/ Oscar Niemeyer


Eu vi o traço do arquiteto incontinente

Insustentável tal leveza e o gênio ousa

No coração da pátria enfim inconfidente

A liberdade sutilmente as asas pousa 


Sonho conjunto que a memória perpetua

Planta- se o sempre nos elãs da geometria

Unem- se retas ao milênio que acentua

A esperança mais presente que tardia


Cumpre- se a curva equilibra- se a mandala

Na convergência consciente dos vetores

A nave voa na amplidão aterrissada

Sucumbe a farsa onde a razão fincou valores


A criação desnuda o pêndulo no plano

Fundem- se ali o artista e o esteta

Em desafio qual esfinge ao olho humano

Deus quando faz das suas mãos as do profeta"
826,Poemas e Poesias Catarinenses - Face,"SE VOCÊ QUISER
de: Hilton Custódio Alves Júnior/
(José Ricardo de Matos Pereira)

Vou virar mais uma noite em claro
Vou tentar juntar os meus pedaços
Vou ficar te relembrando a toa
Esquecendo que o tempo voa

Vou tentar rasgar o teu retrato,
Teu perfume ainda esta no quarto
Vou negar teu nome quantas vezes
Minha solidão e magoa permitir

Vou tentar pintar um novo quadro
Sem as cores que você levou
Sobre o nada rabiscar teu nome
Com o pranto desbotar a dor

Viajar perdido em outro corpo
Procurando algum resquício teu
Vou achar teus beijos em quantas bocas 
Tua indecisão e arrogância permitir

Mas se você quiser, podemos se encontrar
Mas se você quiser, estou te esperando lá
Mas se você quiser..."
827,Desconhecido,"Há coisas lindas na vida:

poesia...
amor...
você... 

Poesia linda, por que é triste
Amor lindo, por que existe
Mas lindo mesmo é você!

Há coisas grandes na vida:
amor...
perdão...
você... 

Amor é grande por que isola
Perdão consola
Mas grande mesmo é você

Há coisas inexplicáveis na vida:
Deus...
saudade...
você... 

Deus se ama e não se explica
Saudade se justifica
Mas como explicar você?

Há coisas boas na vida:
livros...
carinhos...
você... 

Livros nos ensinam
Carinhos quem não os sente?
Mas bom para mim é você 

Há coisas incompreensíveis na vida:
crianças...
sonhos...
você... 

Crianças não sei se entendo
Sonhos não os compreendo
Mas sei que amo você..."
828,Poemas e Poesias Catarinenses - Face,"""RARO""
Renato Nova & Eduardo Pinter - dezembro/2002

Em meu sorriso a te cegar
por ser raro um eu feliz
é como esperar a tempestade chegar
inesperada, breve, porém tardia...

e eu no meu canto, só
é só um canto só
quem diria !?!?
Eu chorar ?!???!!!

Lágrimas se ocultam
a chuva vai passar
porém suas marcas permanecerão

Feliz espero um amanhã
onde será raro acordar
onde será raro chorar
onde será raro amanhecer
onde será raro sofrer

e feliz espero um novo anoitecer
onde é fácil sorrir
onde é fácil sonhar
onde é fácil respirar
onde é fácil morrer

E com a noite ______ A tempestade
saudade, vida e morte
um tempo que hei de existir..........

Renato Nova e Eduardo Pinter"
829,Poeta Urbano - 070712,"A Paz


Consegui a minha paz em meio a poesia...

É aonde escondo o meu coração e sentimentos...

Em cada linha torta que escrevo...

Em cada sorriso que recebo...

Em cada gesto de carinho que encontro em meu caminho...

Unidos...

Trazem a paz que eu preciso e mereço...

A sensação de caminhar pela areia da praia...Mesmo sendo um caminhar solitário...

É o caminho feito pela minha paz...

Hoje me encanto pelos lindos sorrisos...

Feito o teu lindo sorriso...

Que inocentemente me recorda o brilho da Lua...

E com isso...

Mato um pouco a saudade e continuo a caminhar...

Em paz...

Em passos firmes...

Com o carinho a me esquentar o espírito...

E a paz em meus gestos e sentimentos sinceros..."
830,Jucicléia Santana Assunção( eu mesma sou a autora do poema),"“Futuro as nos reservar”

Ilusão, decepção, bateu e deixou
Uma tristeza imensa em meu coração.
Não esperava ma decepção...esperava
Uma paixão!
Como posso superar esta grande ilusão,
Que você deixou em meu coração?
Mais uma ferida foi aberta, mais um
Sentimento foi destruído, com umas
Simples palavras ditas:
- Não irei ficar contigo!
Ainda vem, me pedindo desculpas e eu
Com um lindo sorriso lhe digo:
-Fique tranqüilo!
Visita esperada com ansiedade e aflição...
Acabou indo embora e me deixando com o
Sentimento de desilusão.
Senti dias antes, mas preferir não acreditar.
Fiquei a te esperar com um brilho no olhar!
Penso dia e noite o que tem o
Futuro a nos reservar?


Autoria: Jucicléia Santana Assunção"
831,Alessandra S. L. Nascimento,"Amizade

Amigos verdadeiros são para sempre porque...
não importa a distância,
no coração estarão sempre perto.
não importam as diferenças,
no coração sempre terão um ponto de acordo.
não importam as brigas,
no coração sempre haverá lugar para o perdão.
não importam circunstâncias,
sempre haverá um ombro para recostar,
mãos para ajudar,
olhos para enxergar e chorar de alegria e dor,
bocas para expressar as verdades e sorrir.
Amigos, verdadeiros são para sempre, porque
quando dois corações se unem, formando um só,
DEUS se manifesta ali, através do amor
e o amor é mais forte que a morte,
é benigno, paciente, tudo sofre, crê, supera.
não se ufana, nem se ensoberbece, apenas... ama.
certamente, permanece."
832,Poemas e Poesias Catarinenses - Face,"ESTRANHO ARREDIO

Oriundo de mazelas a virtude é ficar de pé,
De cabeça erguida e de forças para continuar.
Pois nem o bem e muito menos o mau
São decorrentes de estacas que vieram para nos fincar;
E sim para mantermos o equilíbrio
E saber quando temos que recuar
E principalmente quando temos de fechar os olhos
E dizer: “seja o que Deus quiser”.
E sem olhar para traz seguir a nossa intuição
Pois, ela é um aviso de uma lembrança remota
Que nos quer o bem.
E se cairmos levantamo-nos.
Se nos derrubarem levantamo-nos.
E fazemo-lo com toda a energia que possuímos
Pois, ao final, as mazelas estarão ao chão
E nosso orgulho de pé.

Eduardo Pinter
10 Mar 2014"
833,Poemas e Poesias Catarinenses - Face,"DE QUÊ TRILHAS?

Eu canso ao cansaço de quem me diz que no fim há de ter direção.
Meu espaço que te libertou agora tenta escravisar quem nasceu na escravidão.
Não tive liberdade mas tenho saudade daquela escuridão;
Onde os atos são consumados pelas grades que me tiram a razão.
Me afogo talvez, porque não tenho como respirar
Tua questão é seu coração? 
Minha razão corrompe o avesso do que sinto do que tive ao passado.
Porque quando há sentimento é o que foi para quando é de fato,
Não o sentimento que neste exato momento esquece quanto era o acaso,
Mas neste caso, que pensei que poderia contar com você,
Não no que faz. Mas, o que poderia me fazer crescer.
Talvez respiro o que me afoga!

Eduardo Pinter 
02102013"
834,Poemas e Poesias Catarinenses - Face,"ODEIO A MENTE QUE MENTE FACE A FACE

As muralhas desabam pela ignorância que a bondade cristaliza ao ser.
Muitas vezes, explodir na decadência dos rumos se faz presente a leveza
E a desordem persiste vingar o justo pois a falência da bondade é démodé.
E ao lado mora o carrasco que lhe alisa com a adaga na ferida da ingenuidade.
É decadente a decadência do ser quando a felicidade não lhe é permitido;
Fazendo deste amargo um ódio pleno à felicidade alheia
Como se um sorriso à sua sombra refletisse o que realmente lhe passa à mente.
Mente que mente e desmente quando face a face se penetra ao olhar.
E da dúvida somente há uma certeza: não tenho mais certeza de nada.
Não sei mais em quem confiar!

Eduardo Pinter
18 Out 2013"
835,Poemas e Poesias Catarinenses - Face,"VIOLÃO DE TAÇAS
de: Eduardo Pinter

O ventos sombrios da mente calada
Acorda com vontade de se esconder
Inspira a morte numa angústia abafada
Mais puro que o frio não há como morrer
Mais impuro e divino também não há como viver

As questões se vão como se vão as questões
Pr’algum lugar onde desvendas a incompreensão
Pode-se fugir do inverno mas, não das estações
Pode-se ignorar a alma mas, não o coração
Não me é estranha esta sensação

Acordar num silêncio vazio entre esta multidão
Me faz pensar no que penso noturnamente
Afogar-se num violão com taças e uma canção
E se trancar na noite em meu próprio refúgio
Talvez convidar amigos e descobrir que não sou o único

23 Ago 2013 
Eduardo Pinter"
836,Poemas e Poesias Catarinenses - Face,"Só (lidão)
de: José Ricardo de Matos Pereira

Eu sei,
Que mesmo sentindo calado,
Na noite eterna e singular,
No frio que agasalha a solidão...,
Insólita e
Indesejada.

Eu sei,
Que mesmo sonhando acordado,
Virá o vulto...!
A faísca que me integra,
E, ao mesmo tempo
me parte,
Inconsequentemente...

Eu sei,
Que não deveria viver sem você...
Que o albergue que procurava estava em teus olhos, e,
Que teu sorriso simplificava até minhas palavras tortas...,
Desconexas...!

Eu sei,
Que você nunca existiu.
Você foi um sonho que passou.
Você foi à luz que um dia raiou
E,
No entanto,
Se dissipou...!

Você foi o arrepio de meu desejo,
A verdade de meu sentimento.
A tristeza de meu lampejo,
E,
a tortura de meu esquecimento...!"
837,desconhecido,"Hoje senti sua falta, como sempre sinto. 
Senti saudades de mim, saudades de você, 
saudades de nós, saudades da minha felicidade, 
do seu sorriso, do seu viver. 
Hoje mais do que nunca senti sua falta. 
Falta dos teus olhos, 
falta dos meus olhos nos seus. 
Falta do seu olhar, 
falta da alegria no meu olhar. 
Hoje senti que preciso de você, 
senti sua falta. Falta de ouvir ""amor meu"", 
falta de ser o amor seu. 
Falta de 
ter com quem falar, 
falta de ter você comigo! 
Sinto saudades, saudades de você.
Saudades do seu carinho...
Saudades da sua certeza...
Saudades da menina, da mulher.
Saudades de você, amor meu...
Senti falta de ouvir que sou o amor seu... 
Hoje senti sua falta, como sempre sinto...
Saudade de você meu anjo"
838,Vinicius França,"Seu sorriso é o meu favorito
Ele tem um jeito único, despido de ser
Destrói entre-linhas, tornando você meu bem querer
Meu bem querer que não me quer,mas confesso que ainda amo essa  mulher
Mulher sem razão,como não consegue sentir as batidas do meu coração ?
Ah sim,por que não ? aproxime-se de mim junto com teu coração
E agora ? consegue ver as batidas que são como pequenos poemas para você?
Ah sim! foi sem querer,na garoa vi seu maior poder
Poder que não vejo,apenas sinto,de homem me tornei um menino
Simplesmente lindo... conseguir olhar para seus olhos mesmo com meu jeito tímido
Olhares límpidos,seus olhos pareciam não refletirem a maldade
Mas confesso talvez seja delirio da minha idade
Seu amor se acabou e em mim,só sobrou a saudade"
839,Poema as Bruxas,"No que errei!...

...Errei quando
escolhi alguem que não conhecia
quando passei a conhecer 
vi que não merecia

...Errei quando
achei que tudo era fantasia
quando dei por mim
vi que não era o que eu queria

...Errei quando
provei da derrota
e mesmo derrotada
insisti em conserta-la

...Errei quando
me calei
quando poderia ter dito tudo

...Errei quando
não  soube esperar
na primeira oportunidade
mergulhei de cabeça
e comecei a afundar

...Errei quando
achei que amava
depois vi que era tudo ilusão
e minha vida caiu em depressão

“A magoa brota na mente, desse para o peito 
e se instala no coração... Deixa você derrotado
sem forças para sair dessa situação”

...Errei
por saber que errei
e continuo insistindo no erro."
840,Desconhecido,"Menina mulher, já dizia o Poeta: ""todas as mulheres deviam ser meninas"".

Mulher menina, mistura perfeita para ser desejada.

Mulher, postura firme, imponente, mas o melhor mesmo, é quando nas horas certas, se deixa, se permite, sentir a menina que tem dentro de você.

Mulher desejada, amada, se protege, difícil de entender, mas sabe que deixa um doido, quando menina se permite ser.

Menina mulher, nas suas mãos, homens pensamos ser, mas na verdade, garotos somos, frágeis, impulsivos ao poder, que tanto nos faz enlouquecer. Enlouquecer de amor, de fazer e jamais cansar de querer.

Depois de muitas travessuras, um merecido descanso as voltas dos meu braços, menina volta a ser, e me permite pensar que tive o poder de fazer você se sentir mulher."
841,Luciano Spagnol - Poeta mineiro do cerrado,"Monólogo da Despedida 

Terá uma noite, que, ao me deitar,
Tua alma comigo não mais estará
A saudade transcenderá
Os sonhos, que por ti idealizei
Chegará quando, pouco por ti sentirei.

Se foi mero engano do destino
Apresentar-me ao teu sentimento
Só recordação, não serei em nenhum momento
Terás gravado circunstâncias no pensamento
Tatuadas pela saudade, pelo descontentamento.

Mesmo não desejando, saberás dos outros
Que frustrado caminho na solidão
Da ausência de seu amor, seu coração
Tão impregnados em minha emoção
Agora ao leu, sem significado, em vão.

Haverá quando não mais teremos importância
Um ao outro seremos somente consonância
Não mais saberei de ti
E ti não vai querer saber de mim
Porque pouco importa, foi o fim"
842,Poemas e Poesias Catarinenses - Face,"A IMENSIDÃO DA RAZÃO INSENSATA

Eu estou assim:
Me sentindo leve por um copo agradável.
Sentindo pena de mim mesmo,
Já que é a única coisa que me resta.

Como a noite já se foi
E nunca houve esta coisa de pena,
Vou chorar porque a fonte está se esgotando.
Vou sair pra ver se alguma coisa acontece!

Talvez, eu mereça esta saudade e,
Que a imensidão do desejo amenize
A razão deste frio insensato 
Enquanto a pólvora queima o abstrato
Desta sombra que me faz perseguir
Pelos sombrios pensamentos do sentimento.

Falo das sombras porque as vejo me perseguir.
Talvez eu as persiga para ter companhia.
Talvez, como tolo que sou,
Quero mais do que me permite a vida…
Ao final me sinto só de qualquer jeito.

19092013
Eduardo Pinter"
843,Jmal,"Sim, Por Ela

Sim, eu gosto de um carinho inocente criança,
De uma canção suave cantada ao ouvido,
De estar sempre juntinho, juntinho,
Daquela que entende um carinho no umbigo,
Daquela que escuta o que escrevo e descrevo,
Daquela que curte meus anseios sonhados e ainda não realizados,
Daquela que ouve meus discos cantados e não maquiados,
Daquela que foleia os meus livros ilustrados,
Daquela que analisa minhas fotografias e as criticam,
Daquela que se alegra com meu som instrumental,
Daquela que navega em meu olhar solitário distante,
Daquela que sabe ser mulher, sempre a encantar, 
Daquela que entende minhas noites de insônias sem café,
Daquela que me abraça em meus dias de chuvas sem sol,
Sim, eu amo aquela menina, que sabe ser mulher."
844,Jmal,"O Vendedor de Sonhos

Ontem à tarde, 
Quando o sol já se colocava no poente,
Eu avistei um vendedor de sonhos,
Os sonhos eram coloridos, recheados de sonhares e fantasias,
Flutuado em uma coreografia pelos lavres,
Em bolhas de ilusões...

Eram aceitas pelo céu, quem sabe proferissem,
Viajando no colorido, do mais belo dos sonhos,
Do vermelho (o amor), todos os seus tons, 
Do amarelo (a riqueza), do azul (a felicidade), do verde ( a esperança),
Dos quais não sei qual o mais bonito...

Maravilhavam-se,
Os garotos, As garotas,
O gorjeio era de alegria, 
O desejo de todos era de ter nas mãos...

O vendedor de sonhos,
Em uma explosão de grande alegria,
Soltou todos os balões, cheios de sonhos,
...E, eu peguei o meu!

Jmal
2014-02-18"
845,Poemas e Poesias Catarinenses - Face,"CLARO AMIGO JOSÉ
de: Eduardo Pinter

Oh, caro amigo José.
Teus pensamentos andam confusos
Porque você os confundem
Com tantos sonhos profundos.

Teu orgulho não tem a liberdade,
Nem pingo de razão
Para obrigar teus amigos
A entender teu próprio coração.

Mas, meu caro amigo José,
Se nos mares onde navegas
A chuva não bate forte,
dúvidas terás do valor da chuva
À que te negas.

Caro amigo José,
A vida é bela outrora nobre
Mas, se ela não brilha como você quer
É porque tua luz tornou-a pobre.

Assim, outrossim se vai, José.
Quando ofuscas o reluzir
Tornando-se ofensivo
Na juntura de seus amigos.

Meu caro amigo José,
Se perderes as esperanças
Tua fragrância escassa
Perderá o alicerce da vida.

16 Jan 1998
Eduardo Pinter"
846,Joe Luigi,"Amar de verdade não é amor de poemas ou novelas

Amar é cumplicidade, companheirismo, respeito...

Querer estar junto, se realizar no sorriso da pessoa amada

Não é preciso mil beijos dia nem ficar dizendo te amo

isso é demonstração de carinho.

Amar é caminhar junto descalço na chuva, brincar

roubar flores mesmo aquela que nasce na rua, faze-la feliz.

Este é o verdadeiro amor o de estar juntos de mãos dadas

enfrentar momentos bons e ruins, ser o porto seguro do outro.

Amor é tornar-se um só ser

vestir a mesma pele sentir as mesmas dores.

Nem sei explicar o amor, porque amo com a alma

com olhos do coração.

Quando amo visto a pele dela, ela a minha.

Sem cobranças, competições fazemos do nosso amor uma história

de nossas vidas, um só coração."
847,Ciber Poeta Silas Correa Leite,"“A Poesia  é um ‘reino encantado’ para os poetas que têm medo do escuro. Porque Poesia é claridade, levitação, oxigenação da alma, mesmo que as vezes seja pedra no sapato das contundências. Quando leio Poesia, preencho questionários e renúncias de abismos. Quando escrevo Poesia, voo a libertação dos sensíveis crivados de dor. Mas, quando me inscrevo nelas, elas então sustentam minha sensibilidade, nutrem minhas irrazões de zelo filosofal, e, por fim, de alguma forma me ilham desse triste vazio que é a própria existência humana”
Silas  e suas ‘siladas’
“A poesia é o álbum de figurinhas carimbadas de minha alma, a história em quadrinhos do meu espírito, o hidrante mágico de meu inferno mental, a ilha de edição de minha cela de Existir.

Silas e suas ‘siladas’"
848,Oswaldo Grimaldi,"Paixão e Amor

Quando estamos apaixonados
O nosso coração arde em chamas
O seu nome facilmente proclama
E o nosso dia dura por semanas.

O sonho de ser melhor
Torna o nosso dia melhor
Chamo seu nome pelas letras
E agradeço a Deus por ser perfeita.

Amar é o meu maior prazer
Querer é sentir, é você eu ter.
É olhar um livro qualquer
Sem ao menos saber ler.

Quando nos amamos, rimos sem saber por quê.
Se estiver triste, ao seu lado eu fico em silêncio.
Se houver dor, beijo-te até o amanhecer.
Se de ajuda precisar, ao seu lado vou estar.

Ontem não voltará mais
O presente me deixa em paz
O futuro não saberá jamais
Mas meu amor por ti me satisfaz

As vezes a ansiedade me mata
Não te ver é algo que me entristece
Pois amar você como eu te amo
Só é visto em novela das sete."
849,Ângella Ventura,"Ama-me, Apenas

""Deixo que me ame
como quiseres.
Ser amada no
teu profundo silêncio,
quando inquieto rola na cama
sem sono.
Quero ser amada 
no teu maior vazio.
Preencher os espaços
desta tua ausência de mim.
Ama-me nesta distância
que te aperta o coração.
Neste teu pensamento
retalhado por finas farpas
de saudade.
Sou amada no teu
sorriso escondido,
nas palavras caladas.
E ama-me
em nossas 
lembranças guardadas.
Te pertenço em teu 
melhor desejo...
No fechar de teus olhos
antes de adormecer. 
Ama-me apenas.
Sem trair-me.
Ama-me nesta noite,
e em todas as outras 
que não me tens
em teu leito.
Faz-me feliz
teu jeito guardado
de amar-me.
Amando-me em teus medos.
No pranto caído. 
em teimosia de me querer. 
Ama-me, apenas.
Apenas por não poder
esquecer-me..."""
850,Site de Poesias,"ELA ERROU,EU ERREI,NÓS DOIS ERRAMOS... (POESIA ALEATÓRIA)

Ela errou,eu errei,
Nós dois erramos.
O que havia entre nós
Foi acabando.
Nada restou,é esta a realidade
Hoje existe apenas a amizade.


Eu falhei,ela falhou,
Nós dois falhamos.
No dia a dia
Fomos nos distanciando.
Uma relação sem contato e sem carinho,
Ela ausente e eu sozinho.


Ela cansou,eu cansei,
Nós dois cansamos.
A magia,aos poucos,
Foi dissipando.
Nada em comum,nem mesmo cumplicidade.
Viver de aparências é a realidade.


Eu me isolei,
Ela se afastou.
Me acomodei,
Ela se acomodou.
Nada restou ,entre nós dois,
Solidão a dois,é isso o que ficou.


Eu errei,ela errou,
Nós dois erramos!!!
Culpado maior,
Não existe,nós falhamos.
Ela errou,tudo bem,eu perdoei,
Condenação maior,
Veio quando eu errei!!!"
851,Oscar de Jesus Klemz,"Não deixe a vida passar simplesmente
Há muito que se possa fazer para mudá-la 
Há um sol nascendo 
Há amigos nos querendo bem

Há um amor a nossa espera e sabemos onde ele está...
Sua presença nos faz tanta falta
Mas cadê coragem de se entregar
Há uma covardia em aceitar as coisas como elas estão...

E quem pensa que é fraco
Sabe que existe um Pilar
Que nos faz forte e até maior
É o sumo de nossa alma, a fé.

Não digo fé religiosa, mas também.
Digo fé na força 
Fé no principio de que vou longe
E esse longe pode ser ali, onde eu precise apenas dar o primeiro passo.

Penso que sou o que aceitei ser
A vida é um eterno despertar
Mas ainda posso e quero mudar
Largar vícios, buscar o amor, pautar....


E se a vida é mesmo um eterno despertar
Muito prazer...
Sou eu a recomeçar..."
852,Poeta mineiro do cerrado - LUCIANO SPAGNOL,"""ESTEPES"" GOIANAS (soneto)

Mergulhei nas ""estepes"" goianas, por acaso
Foi um pulo no meu destino nunca imaginado
Cá vim, então, em missão para o cerrado
E aqui as quimeras ficaram fora do prazo

Um infinito onde o céu é bonito, fui abandonado
A poesia virou companhia, e o luar, com prazo
Pulsações e confusões no meu fado, um arraso
Onde amar e perdoar tornou-se hábito silenciado

A paisagem esfumou-se e confundiu-se no olhar gazo
De uma poeira fina, varrida do coração embaçado
Deixado de lado, sonhei, e com os sonhos desenhei parnaso

Assim, perdi-me nos atalhos do devaneio inquietado
Nas braçadas da saudade o ribeirão tornou-se raso
E nas ""estepes"" do Goiás, o meu lírico plangor foi dissipado

Luciano Spagnol
Poeta do cerrado
Março de 2017
Cerrado goiano"
